iter	Logloss
0	0.5542789604
1	0.4427454167
2	0.3528801272
3	0.2847802253
4	0.2330308881
5	0.1944358804
6	0.1575433981
7	0.1294210253
8	0.1088584365
9	0.0928915221
10	0.07771158463
11	0.06593101591
12	0.05767761131
13	0.05015201825
14	0.04305045449
15	0.03872638713
16	0.0345114651
17	0.0307202816
18	0.02736105767
19	0.02543921611
20	0.02327964731
21	0.02073439484
22	0.01866784594
23	0.0171578915
24	0.01565742018
25	0.01479245049
26	0.01411769397
27	0.01331263784
28	0.01271040647
29	0.01211480539
30	0.01107126678
31	0.01066298214
32	0.01024553589
33	0.009919883991
34	0.009487325747
35	0.00884449031
36	0.008662023002
37	0.008255719857
38	0.007806112558
39	0.007251883476
40	0.006864481008
41	0.006722774419
42	0.006387018374
43	0.006333919538
44	0.006322262557
45	0.006103484164
46	0.005998351488
47	0.005988887768
48	0.005988836392
49	0.005845705559
50	0.005589351071
51	0.005272237612
52	0.005151955131
53	0.004886462133
54	0.004802020059
55	0.004646555631
56	0.004465180556
57	0.004241066119
58	0.004172364216
59	0.004164939251
60	0.004079633861
61	0.0040006484
62	0.003903590133
63	0.003783277331
64	0.003646790034
65	0.003494755582
66	0.00337501517
67	0.00337501517
68	0.003321116598
69	0.003190272154
70	0.003122706716
71	0.002998315721
72	0.002951592655
73	0.002882608391
74	0.002777077089
75	0.002777077089
76	0.002719265925
77	0.002674677163
78	0.00264949144
79	0.00261469567
80	0.002571677376
81	0.002537525755
82	0.002500622879
83	0.002500619089
84	0.002465789542
85	0.002432395236
86	0.00241374541
87	0.002355582027
88	0.002327854689
89	0.002296653729
90	0.002266331399
91	0.002213895337
92	0.002193266411
93	0.00219326197
94	0.002193256105
95	0.002160868161
96	0.00209513457
97	0.002041977785
98	0.002030133577
99	0.001984013551
100	0.001937408234
101	0.001937393629
102	0.001920259147
103	0.001872708516
104	0.001852556203
105	0.001826567396
106	0.001814422607
107	0.001814412563
108	0.001806088839
109	0.001781354267
110	0.001781304712
111	0.001781302835
112	0.001781253326
113	0.001740290736
114	0.00171429168
115	0.001714281253
116	0.001700381248
117	0.001700379474
118	0.001700377606
119	0.001685370448
120	0.001656180732
121	0.001656161926
122	0.001628837645
123	0.001611231398
124	0.001595173242
125	0.001563376444
126	0.001519592239
127	0.001519592239
128	0.001519580403
129	0.00151957056
130	0.001493315354
131	0.001465026016
132	0.001465023055
133	0.001465012274
134	0.001464987166
135	0.001439907155
136	0.001417522296
137	0.001417519908
138	0.001417517519
139	0.001417515131
140	0.001398004875
141	0.001398002644
142	0.001397975374
143	0.001381666298
144	0.001369065646
145	0.001369062788
146	0.001369062788
147	0.001369061167
148	0.001369036393
149	0.001369013341
150	0.001351974633
151	0.001351942439
152	0.001351934955
153	0.001351891937
154	0.001351845347
155	0.001321581406
156	0.001315871111
157	0.001315859988
158	0.001291125633
159	0.001291033989
160	0.001291001163
161	0.001286528862
162	0.001256711624
163	0.001236153764
164	0.001236151903
165	0.00123614599
166	0.001236143463
167	0.001236141031
168	0.001214651381
169	0.001202773403
170	0.001200152173
171	0.001181574652
172	0.001167812695
173	0.001167802447
174	0.001167801777
175	0.001167801777
176	0.001148747292
177	0.001129956036
178	0.001129953711
179	0.00110234664
180	0.001099768499
181	0.001099765578
182	0.00108233774
183	0.001081363058
184	0.001081361783
185	0.001081356
186	0.001081346565
187	0.00107122206
188	0.00105833125
189	0.001058330145
190	0.001047090084
191	0.001047084269
192	0.001047073667
193	0.001047071027
194	0.00104707003
195	0.001047067862
196	0.001047063252
197	0.001047058646
198	0.00102421299
199	0.001024205852
200	0.001024200844
201	0.001024200844
202	0.001024196468
203	0.001024183324
204	0.001024179845
205	0.001010175438
206	0.001010148539
207	0.001010138176
208	0.001010136174
209	0.001010133901
210	0.001010132386
211	0.001010122812
212	0.001010118527
213	0.001010118527
214	0.0009901684209
